 #dt   t[ps]   msd [nm^2/ps]   D    sum_D
         311  0.622000039      0.329828203       8.83783922E-02   0.00000000    
         312  0.624000013      0.330213815       8.81981328E-02   0.00000000    
         313  0.626000047      0.330599457       8.80190209E-02   0.00000000    
         314  0.628000021      0.330985248       8.78410935E-02   0.00000000    
         315  0.630000055      0.331370711       8.76642019E-02   0.00000000    
         316  0.632000029      0.331742704       8.74848813E-02   0.00000000    
         317  0.634000003      0.332115382       8.73068869E-02   0.00000000    
         318  0.636000037      0.332483143       8.71286988E-02   0.00000000    
         319  0.638000011      0.332865387       8.69554281E-02   0.00000000    
         320  0.640000045      0.333240449       8.67813602E-02   0.00000000    
         321  0.642000020      0.333626986       8.66113603E-02   0.00000000    
         322  0.644000053      0.334016502       8.64431858E-02   0.00000000    
         323  0.646000028      0.334412217       8.62776563E-02   0.00000000    
         324  0.648000002      0.334801674       8.61115381E-02   0.00000000    
         325  0.650000036      0.335193157       8.59469622E-02   0.00000000    
         326  0.652000010      0.335584521       8.57833624E-02   0.00000000    
         327  0.654000044      0.335978359       8.56213942E-02   0.00000000    
         328  0.656000018      0.336371243       8.54601711E-02   0.00000000    
         329  0.658000052      0.336761773       8.52993280E-02   0.00000000    
         330  0.660000026      0.337159455       8.51412788E-02   0.00000000    
         331  0.662000060      0.337548316       8.49819481E-02   0.00000000    
         332  0.664000034      0.337938398       8.48238915E-02   0.00000000    
         333  0.666000009      0.338325918       8.46661478E-02   0.00000000    
         334  0.668000042      0.338708013       8.45079795E-02   0.00000000    
         335  0.670000017      0.339093715       8.43516737E-02   0.00000000    
         336  0.672000051      0.339450717       8.41891542E-02   0.00000000    
         337  0.674000025      0.339812279       8.40287507E-02   0.00000000    
         338  0.676000059      0.340164036       8.38668644E-02   0.00000000    
         339  0.678000033      0.340522617       8.37076157E-02   0.00000000    
         340  0.680000007      0.340880036       8.35490301E-02   0.00000000    
         341  0.682000041      0.341240615       8.33921358E-02   0.00000000    
         342  0.684000015      0.341601521       8.32362399E-02   0.00000000    
         343  0.686000049      0.341961056       8.30809101E-02   0.00000000    
         344  0.688000023      0.342322648       8.29269961E-02   0.00000000    
         345  0.690000057      0.342682958       8.27736557E-02   0.00000000    
         346  0.692000031      0.343029648       8.26179236E-02   0.00000000    
         347  0.694000006      0.343377531       8.24633837E-02   0.00000000    
         348  0.696000040      0.343729079       8.23106021E-02   0.00000000    
         349  0.698000014      0.344079405       8.21584016E-02   0.00000000    
         350  0.700000048      0.344430923       8.20073560E-02   0.00000000    
         351  0.702000022      0.344787002       8.18582624E-02   0.00000000    
         352  0.704000056      0.345145434       8.17105547E-02   0.00000000    
         353  0.706000030      0.345504284       8.15638080E-02   0.00000000    
         354  0.708000004      0.345859379       8.14169869E-02   0.00000000    
         355  0.710000038      0.346215248       8.12711790E-02   0.00000000    
         356  0.712000012      0.346577764       8.11277479E-02   0.00000000    
         357  0.714000046      0.346935332       8.09839666E-02   0.00000000    
         358  0.716000021      0.347302735       8.08432773E-02   0.00000000    
         359  0.718000054      0.347664148       8.07019770E-02   0.00000000    
         360  0.720000029      0.348018080       8.05597380E-02   0.00000000    
         361  0.722000062      0.348382354       8.04206654E-02   0.00000000    
         362  0.724000037      0.348744512       8.02818760E-02   0.00000000    
         363  0.726000011      0.349103063       8.01430345E-02   0.00000000    
         364  0.728000045      0.349470556       8.00069943E-02   0.00000000    
         365  0.730000019      0.349835247       7.98710585E-02   0.00000000    
         366  0.732000053      0.350171238       7.97293335E-02   0.00000000    
         367  0.734000027      0.350504547       7.95877650E-02   0.00000000    
         368  0.736000061      0.350839108       7.94472545E-02   0.00000000    
         369  0.738000035      0.351168543       7.93063492E-02   0.00000000    
         370  0.740000010      0.351499408       7.91665316E-02   0.00000000    
         371  0.742000043      0.351840228       7.90297017E-02   0.00000000    
         372  0.744000018      0.352182150       7.88938478E-02   0.00000000    
         373  0.746000051      0.352522820       7.87584409E-02   0.00000000    
         374  0.748000026      0.352864742       7.86240548E-02   0.00000000    
         375  0.750000060      0.353204668       7.84899145E-02   0.00000000    
         376  0.752000034      0.353552848       7.83583447E-02   0.00000000    
         377  0.754000008      0.353904575       7.82282427E-02   0.00000000    
         378  0.756000042      0.354260206       7.80996904E-02   0.00000000    
         379  0.758000016      0.354619950       7.79727176E-02   0.00000000    
         380  0.760000050      0.354975224       7.78454393E-02   0.00000000    
         381  0.762000024      0.355338186       7.77205154E-02   0.00000000    
